station,date,severity,V_km,VxG_ms,Vx8_ms,UN_pct,Taav_C
AJAKAGIT,2011-03-05,YENGIL,1.9,10.0,5.0,25.0,0.2
AJAKAGIT,2011-03-06,ORTACHA,0.9,5.0,3.0,33.0,2.2
AJAKAGIT,2011-03-31,YENGIL,1.8,10.0,4.0,18.0,14.7
AJAKAGIT,2011-05-17,YENGIL,1.3,12.0,3.0,21.0,27.5
AJAKAGIT,2011-06-14,YENGIL,1.4,21.0,3.0,13.0,30.4
AJAKAGIT,2011-10-14,YENGIL,1.6,10.0,4.0,20.0,19.9
AJAKAGIT,2012-08-28,YENGIL,1.4,10.0,5.0,18.0,28.2
AJAKAGIT,2012-09-26,ORTACHA,0.6,6.0,2.0,13.0,19.8
AJAKAGIT,2012-10-12,ORTACHA,0.8,4.0,2.0,16.0,19.6
AJAKAGIT,2012-11-30,YENGIL,0.9,5.0,2.0,48.0,4.3
AJAKAGIT,2012-12-29,YENGIL,0.6,4.0,2.0,60.0,-13.3
AJAKAGIT,2012-12-30,ORTACHA,0.1,3.0,1.0,63.0,-11.3
AJAKAGIT,2013-01-04,YENGIL,0.5,5.0,2.0,68.0,-7.7
AJAKAGIT,2013-01-18,YENGIL,0.9,5.0,3.0,80.0,-3.9
AJAKAGIT,2013-01-26,YENGIL,0.9,4.0,2.0,59.0,5.3
AJAKAGIT,2013-12-09,YENGIL,0.9,5.0,3.0,80.0,5.8
AJAKAGIT,2014-01-09,YENGIL,0.9,4.0,2.0,43.0,-4.0
AJAKAGIT,2014-03-13,YENGIL,1.9,12.0,6.0,38.0,13.2
AJAKAGIT,2014-06-10,YENGIL,1.9,16.0,4.0,13.0,30.9
AJAKAGIT,2014-11-30,YENGIL,0.8,4.0,2.0,66.0,0.2
AJAKAGIT,2015-03-04,ORTACHA,0.8,4.0,2.0,36.0,8.5
AJAKAGIT,2015-08-31,YENGIL,1.8,10.0,4.0,6.0,25.6
AJAKAGIT,2015-11-24,YENGIL,0.9,4.0,2.0,69.0,2.0
AJAKAGIT,2015-12-14,ORTACHA,0.9,4.0,2.0,35.0,-1.7
AJAKAGIT,2016-01-10,ORTACHA,0.3,4.0,1.0,59.0,9.3
AJAKAGIT,2016-02-01,ORTACHA,0.3,4.0,1.0,42.0,-0.3
AJAKAGIT,2016-09-23,ORTACHA,0.9,4.0,2.0,14.0,26.1
AJAKAGIT,2016-11-22,YENGIL,0.8,4.0,2.0,55.0,-13.5
AJAKAGIT,2016-12-17,YENGIL,0.8,5.0,3.0,71.0,-1.9
AJAKAGIT,2016-12-18,YENGIL,0.8,5.0,3.0,66.0,-2.8
AJAKAGIT,2017-02-11,YENGIL,0.9,7.0,3.0,80.0,-6.8
AJAKAGIT,2017-06-13,YENGIL,1.9,10.0,4.0,9.0,30.7
AJAKAGIT,2018-03-23,YENGIL,1.5,11.0,3.0,34.0,10.1
AJAKAGIT,2019-02-21,YENGIL,1.6,11.0,4.0,39.0,-1.2
AJAKAGIT,2019-06-04,YENGIL,1.9,13.0,4.0,20.0,27.1
AJAKAGIT,2019-12-04,YENGIL,0.8,4.0,2.0,51.0,8.3
AJAKAGIT,2020-01-03,YENGIL,0.9,4.0,2.0,63.0,2.8
AJAKAGIT,2020-02-29,YENGIL,0.6,4.0,2.0,44.0,5.7
AJAKAGIT,2020-04-29,YENGIL,1.8,17.0,3.0,33.0,19.0
AJAKAGIT,2020-06-03,YENGIL,1.8,10.0,3.0,8.0,33.6
AKBAJTAL,2011-04-01,ORTACHA,0.9,3.0,2.0,25.0,15.4
AKBAJTAL,2011-09-11,ORTACHA,0.8,5.0,3.0,20.0,26.4
AKBAJTAL,2011-10-16,ORTACHA,0.9,3.0,2.0,28.0,16.7
