type,period,count
year,1961,47
year,1962,37
year,1963,44
year,1964,39
year,1965,36
year,1966,9
year,1967,2
year,1968,10
year,1969,13
year,1970,7
year,1971,8
year,1972,9
year,1973,2
year,1974,5
year,1975,9
year,1976,11
year,1977,6
year,1978,5
year,1979,9
year,1980,23
year,1981,11
year,1982,8
year,1983,10
year,1984,14
year,1985,15
year,1986,12
year,1987,10
year,1988,2
year,1990,3
year,1991,1
year,1994,2
year,1995,3
year,1996,1
year,2000,1
year,2001,2
year,2002,1
year,2003,2
year,2004,4
year,2005,6
year,2006,5
year,2008,2
year,2009,1
year,2010,36
year,2011,7397
year,2012,7815
year,2013,7810
year,2014,7162
year,2015,6552
year,2016,7140
year,2017,6497
year,2018,6847
year,2019,6990
year,2020,6889
month,01,5704
month,02,5061
month,03,5475
month,04,5127
month,05,5510
month,06,5736
month,07,6028
month,08,6351
month,09,6540
month,10,7508
month,11,6859
month,12,5683
