station,total_rows,V_missing_%,VxG_missing_%,UN_missing_%,V_min,V_max,V_mean,dust_kuchli,dust_ortacha,dust_yengil
AJAKAGIT,3653,0.0,0.0,0.0,0.1,11.0,3.41,0,9,31
AKBAJTAL,3653,0.0,0.0,0.0,0.0,15.5,3.03,9,64,24
AKRABAT,3653,3.4,3.4,3.4,0.3,10.5,3.61,0,18,64
AKTUMSUK,3653,0.0,0.0,0.0,0.4,15.6,2.79,0,14,16
ALMALYK,3653,0.0,0.0,0.0,0.0,13.3,2.45,0,29,119
ANDIZAN,3653,0.0,0.0,0.0,0.0,6.1,1.68,59,306,297
ANGREN,3659,0.2,0.2,0.2,0.0,6.5,1.35,86,646,576
BAJSUN,21915,0.0,0.0,0.0,0.0,14.0,1.58,1,192,430
BEKABAD,3653,0.0,0.0,0.0,0.0,22.5,2.4,0,90,738
BUHARA,3653,0.0,0.0,0.0,0.0,9.9,3.32,18,79,39
BUZAUBAJ,3653,0.0,0.0,0.0,0.0,11.3,2.64,96,215,68
CHIMBAJф,3653,0.0,0.0,0.0,0.0,11.3,2.26,75,296,105
CHIMGAN,3653,0.0,0.0,0.0,0.0,7.0,1.12,489,910,293
CXNuratдa,3653,1.7,1.7,1.7,0.0,16.0,2.27,35,317,260
Chimkurgan,3653,0.0,0.0,0.0,0.0,3.9,0.68,565,1428,818
DAGBIT,3653,0.0,0.0,0.0,0.3,7.0,1.34,16,552,436
DENAU,3653,0.0,0.0,0.0,0.0,3.9,1.54,10,179,89
DJIZAK,3653,0.0,0.0,0.0,0.0,11.6,1.46,74,521,458
Dalverzin,3653,0.0,0.0,0.0,0.0,7.5,1.48,47,483,348
Dehkanabad,3654,0.0,0.0,0.0,0.1,12.9,3.59,1,9,39
Djangeldy,3653,0.0,0.0,0.0,0.5,14.3,2.84,0,9,4
Dukant 1,3653,0.0,0.0,0.0,0.0,4.9,1.16,338,780,328
Dustlik,3653,0.0,0.0,0.0,0.0,8.0,1.37,60,576,328
FERGANA,3653,0.0,0.0,0.0,0.0,4.9,0.97,28,935,1050
Fedchenko,3653,0.0,0.0,0.0,0.0,8.8,0.93,155,1095,754
GALAARAL,3653,0.0,0.0,0.0,0.0,8.1,1.51,183,739,462
Guzar,3653,0.0,0.0,0.0,0.0,10.9,1.65,25,329,536
JASLYK,3653,0.0,0.0,0.0,0.0,23.6,5.25,96,152,118
Jubilej,3653,0.0,0.0,0.0,0.0,8.8,1.04,344,943,564
KAMCHIK,3653,0.0,0.0,0.0,0.0,9.6,1.91,114,484,401
KARAKALP (исправлен снег),3653,0.0,0.0,0.0,0.0,27.1,4.43,35,78,46
KARAKUL,3653,0.0,0.0,0.0,0.1,6.6,2.1,18,214,114
KARSHY,3653,0.0,0.0,0.0,0.6,8.6,2.87,0,4,30
KAUNCHY,3653,0.0,0.0,0.0,0.0,6.4,1.42,20,489,301
KHIVA,3659,0.3,0.3,0.3,0.1,6.5,1.57,14,264,355
KOKAND,3720,0.2,0.2,0.2,0.0,12.3,1.77,106,578,444
KOKARAL,3653,0.0,0.0,0.0,0.0,3.9,0.6,880,1238,546
KUL,3653,0.0,0.0,0.0,0.0,5.6,1.08,5,903,546
KUNGRAD,3653,0.0,0.0,0.0,0.0,19.4,3.01,20,137,122
KUSRABAD,3653,0.0,0.0,0.0,0.1,6.9,1.59,23,439,419
MINGCHUK,3653,0.0,0.0,0.0,0.1,4.8,1.2,13,450,736
MUBAREK,3653,0.0,0.0,0.0,0.1,8.4,1.38,19,487,269
MUJNAK,3653,0.0,0.0,0.0,0.3,16.3,3.1,1,8,8
Mashikuduk,3653,0.0,0.0,0.0,0.0,14.1,2.57,85,328,202
NAMANGAN,3653,0.0,0.0,0.0,0.1,8.1,2.16,0,6,40
NASREDINBEK,3653,10.0,0.0,0.0,0.0,4.3,0.32,1267,1151,224
NAVOIY,3653,0.8,0.0,0.0,0.3,17.3,3.65,0,39,46
NUKUS,3653,0.0,0.0,0.0,0.1,11.8,3.56,5,18,9
NURATA,3653,0.0,0.0,0.0,0.0,10.3,0.89,753,1314,371
OYGAING,3653,0.0,0.0,0.0,0.0,15.0,2.77,332,145,59
PAJSHANBA,3653,0.0,0.0,0.0,0.0,7.0,1.19,458,787,333
Pap,3653,0.0,0.0,0.0,0.0,5.9,0.43,1195,1536,331
Pskem,3653,0.0,0.0,0.0,0.0,5.8,0.81,689,1409,726
SAHRISBZ,3653,0.0,0.0,0.0,0.0,4.9,1.48,1,502,344
SARKANDA,3653,0.0,0.0,0.0,0.0,1.9,0.37,873,1665,506
SAVAY,3653,0.0,0.0,0.0,0.4,5.3,1.48,0,10,51
SHAHIMARDAN,3653,0.0,0.0,0.0,0.0,2.6,0.61,548,1436,614
SHERABAD,3653,0.0,0.0,0.0,1.0,5.3,2.16,0,0,0
SHURCHY,3653,0.0,0.0,0.0,0.0,4.8,1.17,428,808,274
SUKOK,3653,0.0,0.0,0.0,0.0,2.6,0.95,19,867,577
SYRDARJA,3653,0.0,0.0,0.0,0.0,5.8,1.42,0,318,252
Samarkand,3653,0.0,0.0,0.0,0.0,7.3,1.33,58,636,447
Sanzar,3653,0.0,0.0,0.0,0.1,13.4,1.98,0,7,66
TAHIATAS,3653,0.0,0.0,0.0,0.0,13.0,1.69,219,598,574
TAHTAKUPYR,3653,0.0,0.0,0.0,0.3,14.6,2.17,4,159,81
TAMDY,3653,0.0,0.0,0.0,0.3,13.4,2.89,2,20,2
TERMEZ,3653,0.0,0.0,0.0,0.4,11.5,2.84,1,23,49
TUJABUGUZ,3653,0.0,0.0,0.0,0.1,3.9,1.39,5,199,263
TUJAMUIN,3653,0.0,0.0,0.0,0.0,14.6,1.78,337,634,246
Tashkent,3653,0.0,0.0,0.0,0.1,3.1,1.28,2,282,473
URGENCH,3653,0.0,0.0,0.0,0.4,9.6,3.28,1,19,30
Yangier,3653,0.0,0.0,0.0,0.0,19.4,2.52,49,253,162
Yangikishla1k,3653,0.0,0.0,0.0,0.3,15.5,2.32,1,10,143
Zapadniy Arnasay,3136,0.0,0.0,0.0,0.0,13.5,2.32,36,154,105
bashkzyl,3654,0.8,0.8,0.8,0.0,4.3,1.08,12,648,554
uchkuduk,3653,0.0,0.0,0.0,0.3,11.0,2.99,1,50,43
Бустон,3654,0.8,0.8,0.8,0.0,11.8,2.05,43,228,164
Гулистан,3653,100.0,100.0,100.0,,,,0,0,0
Кассансай,3653,100.0,100.0,100.0,,,,0,0,0
Ляльмикор,3653,0.0,0.0,0.0,0.1,18.1,2.16,7,100,217
Нурабад,3653,0.0,0.0,0.0,0.0,2.8,0.62,1145,1495,499
Пайарык,3653,56.7,56.7,56.7,0.1,5.3,1.31,9,256,132
сарыссия,3653,1.0,1.0,1.0,0.0,6.9,1.83,0,53,130
